location 	rooms 	housetype 	area 	price 	unitprice 	year 	floor 	elevator 	condition 	lot 	energy
Pihlajisto 	5h, k, kph, eri... 	kt 	113,50 	180000 	1586 	1970 	4/7 	on 	tyyd. 	oma 	E2013
Tapaninvainio 	4h,k,2xkph,3xwc... 	rt 	114,00 	372000 	3263 	2009 	-1/3 	ei 	hyvä 	vuokra 	F
Oulunkylä 	4h, k, s, erill... 	rt 	82,00 	335000 	4085 	1987 	1/2 	ei 	tyyd. 	vuokra 	D2018
Vuosaari 	4h, k, s, kph, ... 	rt 	99,50 	290000 	2915 	1965 	2/2 	ei 	hyvä 	oma 	F2007
Hakuninmaa 	4h+k+s+ask.h+au... 	ok 	133,70 	385000 	2880 	1985 	3/3 	ei 	hyvä 	oma 	
Pukinmäki 	4h+k+s 	rt 	86,00 	335000 	3895 	1973 	1/1 	ei 	hyvä 	oma 	E2013
Pajamäki 	4 h + k + p 	kt 	74,00 	322000 	4351 	1959 	3/8 	on 	hyvä 	vuokra 	F2013
Landbo 	5h, k, s, takka... 	ok 	179,00 	475000 	2654 	2002 	  	ei 	hyvä 	oma 	
Metsälä 	5 h, avokeitti&... 	rt 	90,00 	385000 	4278 	1999 	1/2 	ei 	tyyd. 	oma 	C2018
Alppikylä 	4h+k+s+vh+varasto 	rt 	100,00 	376000 	3760 	2018 	1/1 	ei 	hyvä 	vuokra 	C
Länsi-pakila 	3h+k+kph+s+wc+l... 	rt 	115,00 	290000 	2522 	1982 	1/2 	ei 	tyyd. 	oma 	
Meilahti 	3h+kk+kph 	kt 	53,00 	319000 	6019 	1949 	2/8 	ei 	tyyd. 	oma 	
Pihlajamäki 	3-4 h, k, kh, p 	kt 	67,50 	149000 	2207 	1962 	4/4 	ei 	tyyd. 	vuokra 	E2013
Myllypuro 	3h, k, kph, las... 	kt 	70,00 	250500 	3579 	1964 	8/8 	on 	hyvä 	vuokra 	
Mellunkylä 	3h+k,s 	rt 	73,00 	278000 	3808 	1986 	1/1 	ei 	hyvä 	oma 	
Suutarila 	3h+k+s 	rt 	74,50 	210000 	2819 	1979 	1/1 	ei 	tyyd. 	vuokra 	
Tapaninvainio 	3h, k, s-tilat,... 	rt 	78,50 	270000 	3439 	1984 	-1/1 	ei 	hyvä 	oma 	
Merihaka 	3h+k 	kt 	85,00 	455000 	5353 	1974 	1/8 	ei 	tyyd. 	oma 	
Lauttasaari 	3h, k, las.parveke 	kt 	58,00 	404000 	6966 	1970 	3/7 	on 	tyyd. 	oma 	E2007
Myllypuro 	3H+K 	kt 	75,00 	202000 	2693 	1987 	2/2 	ei 	tyyd. 	vuokra 	
Kruununhaka 	3h+avok.+kph/sa... 	kt 	80,00 	638000 	7975 	1939 	7/7 	on 	hyvä 	oma 	F2013
Kruununhaka 	3h+ k + kph, sa... 	kt 	102,00 	700000 	6863 	1912 	2/5 	on 	hyvä 	oma 	F2017
Katajanokka 	3h, k, 2 parvek... 	kt 	106,00 	1025000 	9670 	1940 	-1/8 	on 	hyvä 	oma 	C2018
Tapaninvainio 	3h+k+s 	rt 	77,50 	266000 	3432 	1990 	1/1 	ei 	tyyd. 	oma 	
Jätkäsaari 	3h, kt, s 	kt 	83,00 	415000 	5000 	2021 	3/5 	on 	hyvä 	vuokra 	B2018
Punavuori 	3h+k+s+p 	kt 	83,50 	560000 	6707 	1982 	7/8 	on 	tyyd. 	oma 	F2013
Konala 	3h+k+kph+2xvh+l... 	kt 	56,00 	272000 	4857 	2013 	1/4 	ei 	hyvä 	vuokra 	
Kontula 	3h, k, kph, vh,... 	kt 	69,00 	190000 	2754 	1966 	7/7 	on 	hyvä 	vuokra 	E2007
Heikinlaakso 	3-4h+k+kph+s 	rt 	89,00 	264000 	2966 	1977 	1/1 	ei 	hyvä 	oma 	
Torpparinmäki 	3h,k,s,parvi,ty... 	rt 	106,00 	307500 	2901 	1981 	-1/2 	ei 	hyvä 	vuokra 	E
	2-3h, avok, sau... 	ok 	75,00 	294000 	3920 	1999 	2/2 	ei 	hyvä 	oma 	
	3h, k, rt, tkh,... 	ok 	155,00 	580000 	3742 	1996 	-1/2 	ei 	hyvä 	oma 	
	3 h, avok., sau... 	ok 	70,00 	351000 	5014 	1990 	1/1 	ei 	hyvä 	oma 	
	3h, 2 keitti... 	ok 	90,00 	195000 	2167 	1948 	-1/2 	ei 	tyyd. 	vuokra 	D2018
	3h, k, kph, sau... 	ok 	85,00 	325000 	3824 	1970 	1/1 	ei 	tyyd. 	oma 	C2007
	3h, k, s/ph, 2 ... 	ok 	100,00 	320000 	3200 	1991 	-1/1 	ei 	hyvä 	oma 	E2013
	3h+k+kph+kellari 	ok 	72,00 	290000 	4028 	1926 	1/3 	ei 	huono 	oma 	
	3h, k, erilline... 	ok 	66,50 	384000 	5774 	2020 	-1/2 	ei 	hyvä 	oma 	B2018
	3h, avokeitti&#... 	ok 	85,00 	234000 	2753 	1976 	2/2 	ei 	tyyd. 	oma 	
	3h, k, wc, kph,... 	ok 	128,00 	355000 	2773 	1989 	1/1 	ei 	tyyd. 	oma 	
	3h+k+s 	ok 	72,50 	229000 	3159 	1984 	1/1 	ei 	hyvä 	oma 	
	3h,k,kph,s,wc,t... 	ok 	116,00 	485000 	4181 	1997 	2/2 	ei 	hyvä 	oma 	D2018
	3 h, k, khh, s,... 	ok 	115,00 	313000 	2722 	1986 	1/1 	ei 	tyyd. 	oma 	E2018
	3h+k+s+kph/khh+... 	ok 	94,50 	348000 	3683 	2007 	2/2 	ei 	hyvä 	oma 	D2013
	oh, 2 mh, k, pe... 	ok 	70,00 	222000 	3171 	1982 	-1/1 	ei 	tyyd. 	vuokra 	
Länsi-pasila 	4h, avok, kph, ... 	kt 	93,50 	500000 	5348 	2010 	2/6 	on 	hyvä 	oma 	D2013
Tammisalo 	4h, k, kph + 3 ... 	rt 	113,00 	449000 	3973 	1973 	3/3 	ei 	hyvä 	oma 	D
Ullanlinna 	4-5h, k, kph, s... 	kt 	120,00 	925000 	7708 	1961 	5/8 	on 	hyvä 	oma 	F2013
Kruununhaka 	4h+k+kph+s 	kt 	132,00 	950000 	7197 	1886 	4/4 	ei 	tyyd. 	oma 	C2007
Länsi-pakila 	4h, k, rt, 2kph... 	ok 	160,00 	497000 	3106 	1999 	-1/2 	ei 	hyvä 	oma 	C2018
Länsi-pakila 	4h, k, vh, kh/w... 	rt 	73,00 	250000 	3425 	1967 	1/1 	ei 	huono 	oma 	
Kallio 	4h+avok+kph+s+wc+p 	kt 	79,00 	468000 	5924 	1984 	4/8 	on 	hyvä 	oma 	E2013
Oulunkylä 	4h, k, s 	rt 	99,00 	365000 	3687 	1980 	1/2 	ei 	tyyd. 	oma 	
Itä-pakila 	5h, avokeitti&#... 	rt 	106,00 	550000 	5189 	2019 	1/1 	ei 	hyvä 	oma 	B2018
Paloheinä 	5h, k, 2kph/3wc... 	ok 	117,00 	450000 	3846 	2005 	2/2 	ei 	hyvä 	vuokra 	
Punavuori 	4h+k+s+2 x kph+... 	kt 	123,00 	1200000 	9756 	2012 	6/7 	ei 	hyvä 	oma 	E2013
Länsi-pakila 	5h+k+khh+kph+s+... 	rt 	170,00 	620000 	3647 	1971 	1/2 	ei 	hyvä 	oma 	
Laajasalo 	5 h, k, 2 x kph... 	ok 	172,00 	583000 	3390 	1979 	1/2 	ei 	hyvä 	oma 	
Kruununhaka 	3-4h+k+kph 	kt 	83,00 	622500 	7500 	1924 	4/8 	on 	tyyd. 	oma 	F2013
Patola 	4 h, k, kh, wc,... 	kt 	96,00 	279000 	2906 	1971 	1/3 	ei 	tyyd. 	vuokra 	D2007
Hallainvuori 	5h, k, khh, vh,... 	rt 	112,00 	400000 	3571 	2005 	-1/2 	ei 	hyvä 	oma 	E
Torpparinmäki 	5h+k+kph+s+takkah. 	ok 	122,00 	330000 	2705 	1984 	2/2 	ei 	tyyd. 	vuokra 	D2018
Kannelmäki 	3h, k, lasitett... 	kt 	65,00 	263000 	4046 	1964 	2/4 	on 	hyvä 	oma 	D2007
Itä-pakila 	3h, k, s, khh, ... 	rt 	75,00 	272000 	3627 	2001 	1/1 	ei 	tyyd. 	oma 	F2013
Vesala 	3h, k, s 	rt 	84,00 	160000 	1905 	1985 	1/2 	ei 	tyyd. 	vuokra 	E2013
Taka-töölö 	3h, k, kph, wc 	kt 	74,00 	449000 	6068 	1936 	4/6 	on 	tyyd. 	oma 	F2013
Kontula 	3-4 h, k, p 	kt 	76,00 	122000 	1605 	1968 	2/8 	on 	tyyd. 	oma 	G2013
Etu-töölö 	3 h, k, halli, ... 	kt 	119,00 	820000 	6891 	1923 	6/6 	on 	tyyd. 	oma 	F2013
Pohjois-haaga 	3h,k,kh,parveke 	kt 	63,00 	315500 	5008 	1954 	2/3 	ei 	hyvä 	vuokra 	
Lauttasaari 	3h, avok, kph, ... 	kt 	73,00 	358000 	4904 	1962 	4/4 	on 	hyvä 	oma 	E2007
Kurkimäki 	3h+k+s/kph 	kt 	73,50 	158000 	2150 	1984 	2/4 	ei 	tyyd. 	vuokra 	E
Myllypuro 	3h, k, s 	rt 	78,50 	308000 	3924 	1989 	1/1 	ei 	hyvä 	oma 	
Herttoniemenranta 	3 h, k, s, eril... 	kt 	80,00 	387000 	4838 	2008 	5/7 	on 	hyvä 	vuokra 	E2013
Kruununhaka 	3h, keittiö... 	kt 	82,90 	613000 	7394 	1905 	1/4 	on 	tyyd. 	oma 	E2013
Kalasatama 	3h, k, kph, s, ... 	kt 	92,00 	595000 	6467 	2013 	5/6 	on 	hyvä 	oma 	C2013
Etelä-haaga 	3h, k, kph, p 	kt 	58,00 	287000 	4948 	1957 	1/3 	ei 	tyyd. 	oma 	D2007
Laajasalo 	3h+kk 	kt 	61,00 	237000 	3885 	1966 	3/5 	ei 	tyyd. 	oma 	
Pohjois-haaga 	3h+k+p 	kt 	62,00 	330000 	5323 	1957 	3/3 	ei 	hyvä 	oma 	
Kallio 	3h, k, kph, par... 	kt 	62,00 	384000 	6194 	1955 	6/6 	on 	tyyd. 	oma 	E2018
Etelä-haaga 	3h+k 	kt 	66,00 	340000 	5152 	1960 	1/4 	ei 	hyvä 	oma 	
Kivihaka 	3h, rt, avokeit... 	kt 	72,00 	270000 	3750 	1961 	3/3 	ei 	hyvä 	vuokra 	E2007
Myllypuro 	3h+k+p 	kt 	74,00 	166000 	2243 	1977 	3/3 	ei 	tyyd. 	vuokra 	
Kumpula 	3 h+k 	kt 	74,50 	317000 	4255 	1988 	3/3 	ei 	hyvä 	vuokra 	F
Mellunmäki 	3h, k, erill.wc... 	kt 	80,50 	150000 	1863 	1971 	1/5 	on 	tyyd. 	oma 	
Lauttasaari 	3h, k, kh/s, er... 	kt 	82,00 	549000 	6695 	2001 	3/6 	on 	hyvä 	oma 	F2013
Ullanlinna 	3h+avok+kph+wc 	kt 	83,00 	765000 	9217 	1911 	4/5 	on 	hyvä 	oma 	F2013
Kamppi 	2mh+oh+k+kph+au... 	kt 	86,00 	655000 	7616 	1928 	5/10 	ei 	hyvä 	oma 	
Lauttasaari 	3h, avok, kph +... 	kt 	101,50 	1005000 	9901 	2016 	6/6 	on 	hyvä 	  	C2013
Honkasuo 	3h, kt, kph 	kt 	65,00 	245000 	3769 	2017 	2/3 	on 	hyvä 	vuokra 	C2013
Ullanlinna 	3 h, avok, kph 	kt 	68,00 	510000 	7500 	1941 	2/4 	on 	hyvä 	oma 	F2013
Kruununhaka 	3h, k 	kt 	69,20 	526000 	7601 	1926 	5/7 	on 	tyyd. 	oma 	G2013
Torpparinmäki 	3h+k+kph 	rt 	70,50 	230000 	3262 	1988 	1/1 	ei 	tyyd. 	vuokra 	
Konepaja 	3h,k,s,vh,2xwc,... 	kt 	80,00 	490000 	6125 	2013 	2/7 	on 	hyvä 	oma 	C2018
Kaarela 	3h, k, ph, 2 kp... 	rt 	91,00 	360000 	3956 	2008 	-1/2 	ei 	hyvä 	oma 	E2013
Laajasalo 	3h+k+kph+vh+et+... 	kt 	51,00 	224000 	4392 	1966 	3/5 	ei 	hyvä 	oma 	
Konala 	3h, k, kph, vt,... 	kt 	57,50 	200000 	3478 	1965 	2/3 	ei 	hyvä 	oma 	
Kannelmäki 	3h+k+kph-wc+vh+... 	kt 	66,00 	177000 	2682 	1978 	3/4 	on 	tyyd. 	vuokra 	
Tapanila 	3 h, k, s, vh, ... 	kt 	78,50 	252000 	3210 	2004 	2/5 	on 	hyvä 	vuokra 	E2007
Tapanila 	3h, k, s, kph, ... 	rt 	86,50 	310000 	3584 	2004 	1/2 	ei 	hyvä 	vuokra 	E
Kannelmäki 	3h, k, kph, las... 	kt 	66,00 	158000 	2394 	1962 	1/3 	ei 	tyyd. 	oma 	F2013
Arabia 	3h+k+s+ransk.pa... 	kt 	72,00 	294768 	4094 	2003 	5/6 	on 	tyyd. 	vuokra 	F2013
Herttoniemi 	3h+k+s,2 wc, ta... 	rt 	88,00 	305000 	3466 	2001 	2/2 	ei 	hyvä 	vuokra 	
Kivikko 	3h+k+s 	kt 	76,00 	242000 	3184 	1999 	2/4 	ei 	hyvä 	vuokra 	
Etu-töölö 	3h+k+2kph 	kt 	100,50 	675000 	6716 	1912 	2/5 	ei 	tyyd. 	oma 	
Kamppi 	3 h, avok., kph... 	kt 	61,00 	522000 	8557 	2016 	5/7 	on 	hyvä 	oma 	A2016
Katajanokka 	3h, kt, parveke 	kt 	63,00 	645587 	10247 	1940 	4/8 	on 	hyvä 	oma 	C2018
Katajanokka 	3h, kt, parveke 	kt 	63,00 	664248 	10544 	1940 	5/8 	on 	hyvä 	oma 	C2018
Jätkäsaari 	3h, kt 	kt 	66,00 	369600 	5600 	2021 	6/7 	on 	hyvä 	vuokra 	B2018
Lauttasaari 	3h, avok, kph, ... 	kt 	74,00 	432500 	5845 	1954 	5/5 	on 	huono 	oma 	E2009
Myllypuro 	3h, k, saunaos,... 	rt 	81,50 	385000 	4724 	2019 	-1/2 	ei 	hyvä 	oma 	C
Katajanokka 	3H+KT 	kt 	103,50 	990000 	9565 	1940 	-1/8 	on 	hyvä 	oma 	C2018
Tapanila 	3h+k+kph+lasite... 	kt 	66,00 	220000 	3333 	1969 	2/3 	ei 	hyvä 	oma 	
Myllypuro 	3h+kt+s+parv 	rt 	74,00 	290000 	3919 	2018 	2/2 	ei 	hyvä 	vuokra 	
Punavuori 	3h, k, kph, par... 	kt 	89,00 	640000 	7191 	1923 	2/5 	on 	hyvä 	oma 
Pukinmäki 	3h, avok, kph, ... 	kt 	69,00 	177000 	2565 	1982 	3/5 	on 	tyyd. 	oma 	
Patola 	3h, k, parv. vh 	kt 	74,60 	160000 	2145 	1975 	3/3 	ei 	tyyd. 	vuokra 	E2007
Myllypuro 	3h, k, wc, kph,... 	kt 	75,00 	211000 	2813 	1987 	2/2 	ei 	hyvä 	vuokra 	F2007
Itäkeskus 	3h+avok+rt+kph+... 	kt 	76,00 	224000 	2947 	1981 	4/4 	on 	hyvä 	vuokra 	
Puistola 	3h+k+kph+s+alkovi 	rt 	99,00 	340000 	3434 	1914 	-1/2 	ei 	hyvä 	oma 	
Etu-töölö 	3h, avok, kph, ... 	kt 	102,00 	730000 	7157 	2009 	6/8 	on 	hyvä 	oma 	F2013
Tapaninvainio 	3h+k+s 	rt 	88,00 	230000 	2614 	1979 	1/1 	ei 	tyyd. 	oma 	E2013
Puotinharju 	3h, k, kph, eri... 	kt 	75,50 	153000 	2026 	1964 	5/7 	on 	tyyd. 	vuokra 	D2018
Töölö 	3h, avokeitti&#... 	kt 	141,00 	1010000 	7163 	1933 	5/6 	on 	hyvä 	oma 	F2018
Taka-töölö 	3h, avok, kph 	kt 	69,00 	498000 	7217 	1938 	3/6 	on 	hyvä 	oma 	F2013
Länsi-pakila 	3 h, avokeitti&... 	rt 	75,00 	280000 	3733 	1978 	1/1 	ei 	tyyd. 	oma 	D2007
Herttoniemenranta 	3h, avok, kph, ... 	kt 	80,50 	395000 	4907 	1999 	4/5 	on 	hyvä 	vuokra 	F
Viikinmäki 	3h, k, kph/s, l... 	kt 	65,50 	288000 	4397 	2005 	4/8 	on 	hyvä 	vuokra 	E2013
Vuosaari 	3h, k, kph, sau... 	kt 	75,00 	207000 	2760 	2000 	4/6 	on 	tyyd. 	vuokra 	E
Mellunmäki 	3h+k+s 	kt 	77,00 	173000 	2247 	1975 	1/3 	ei 	hyvä 	oma 	E2007
Pukinmäki 	3 h, k, kh/wc, ... 	kt 	77,00 	180000 	2338 	1989 	3/4 	ei 	huono 	vuokra 	D2007
Kamppi 	3h, k, kph, wc,... 	kt 	79,50 	605000 	7610 	1981 	6/7 	on 	hyvä 	oma 	E2013
Katajanokka 	3h+k+s yhti... 	kt 	112,00 	854647 	7631 	1902 	6/6 	on 	hyvä 	oma 	D2013
Vuosaari 	3h, k, kph, eri... 	kt 	68,70 	177000 	2576 	1964 	3/5 	on 	tyyd. 	oma 	
Vuosaari 	3h+k+parveke (y... 	kt 	78,00 	127000 	1628 	1972 	1/5 	on 	tyyd. 	oma 	F2013
Herttoniemenranta 	3h+k+s 	rt 	113,00 	672000 	5947 	2008 	2/2 	ei 	hyvä 	oma 	E2007
Pohjois-haaga 	3h, kk, kh, las... 	kt 	56,00 	258000 	4607 	1956 	1/3 	ei 	tyyd. 	vuokra 	E2018
Etelä-haaga 	3h, avok., kph,... 	kt 	60,00 	325000 	5417 	1964 	1/4 	ei 	hyvä 	oma 	E2018
Tapulikaupunki 	3h, k 	kt 	71,50 	135000 	1888 	1983 	4/4 	ei 	huono 	oma 	
Mellunmäki 	3h, k, wc, lasi... 	kt 	73,00 	114500 	1568 	1968 	2/3 	ei 	tyyd. 	oma 	E2007
Tammisalo 	3h+kk+kph+parveke 	kt 	46,00 	182000 	3957 	1961 	2/2 	ei 	tyyd. 	oma 	E2007
Ullanlinna 	3h, kk, rt, kph... 	kt 	62,00 	538504 	8686 	1963 	4/7 	on 	hyvä 	oma 	F2015
Puotila 	3h, k, kph/wc, ... 	kt 	66,00 	219500 	3326 	1961 	3/3 	ei 	hyvä 	vuokra 	
Herttoniemenranta 	3 h, kk, wc, kp... 	kt 	67,50 	358000 	5304 	2001 	4/7 	on 	hyvä 	oma 	D2018
Lauttasaari 	3h, k, kph, par... 	kt 	70,00 	383000 	5471 	1939 	4/5 	on 	tyyd. 	oma 	F2013
Käpylä 	1h+kk+khwc+p+pa... 	kt 	96,50 	455000 	4715 	1952 	4/4 	ei 	hyvä 	vuokra 	E2018
Kannelmäki 	3h+k 	kt 	60,40 	207000 	3427 	1960 	2/4 	ei 	hyvä 	vuokra 	E2007
Myllypuro 	3h, k, kph, p 	kt 	68,50 	199000 	2905 	1965 	3/5 	on 	hyvä 	vuokra 	C
Vuosaari 	3h, k, kph, las... 	kt 	70,00 	210000 	3000 	1966 	3/3 	ei 	hyvä 	oma 	
Kontula 	3h+k+kph+wc+2 l... 	kt 	75,00 	135000 	1800 	1966 	8/9 	on 	tyyd. 	oma 	
Lauttasaari 	3h+avok+kph+las.p 	kt 	66,00 	540000 	8182 	2019 	6/8 	on 	hyvä 	oma 	C2013
Itä-pakila 	3h+k+kph+s+wc 	rt 	70,00 	242000 	3457 	1973 	1/1 	ei 	hyvä 	oma 	E2013
Sepänmäki 	3h, k, kph, s, ... 	rt 	75,00 	272000 	3627 	1990 	1/1 	ei 	hyvä 	vuokra 	
Kulosaari 	3 h+k 	kt 	60,00 	330000 	5500 	1979 	2/4 	on 	tyyd. 	oma 	E2007
Kontula 	3h, k, kph, vh,... 	kt 	66,00 	127000 	1924 	1967 	1/8 	on 	tyyd. 	vuokra 	C2018
Pitäjänmäki 	3h+k+parveke 	kt 	66,00 	293000 	4439 	1947 	1/2 	ei 	hyvä 	oma 	
Laajasalo 	3-4h, k+kph+las... 	kt 	74,50 	245000 	3289 	1990 	1/3 	ei 	hyvä 	vuokra 	F2013
Töölö 	3h, avokeitti&#... 	kt 	76,00 	520000 	6842 	1935 	4/6 	on 	hyvä 	oma 	F
Kamppi 	3h+k+kph/sauna+... 	kt 	83,00 	550000 	6627 	1988 	4/8 	on 	hyvä 	vuokra 	E2013
Tapaninvainio 	3h, rt, avokeit... 	rt 	94,00 	316000 	3362 	1974 	1/1 	ei 	hyvä 	oma 	E2018
Oulunkylä 	3 h, k, kph, 2x... 	kt 	72,00 	312000 	4333 	1966 	3/3 	ei 	hyvä 	vuokra 	F2018
Itäkeskus 	3h+k 	kt 	74,50 	195000 	2617 	1985 	4/4 	ei 	tyyd. 	vuokra 	D2007
Kontula 	3h+k+kh+wc+parv 	kt 	75,00 	150000 	2000 	1966 	2/9 	on 	hyvä 	oma 	E2013
Pitäjänmäki 	3h, k, ph/s, er... 	kt 	83,00 	405000 	4880 	2008 	2/7 	on 	hyvä 	oma 	C2015
Munkkiniemi 	3h+k+halli+kph 	kt 	84,50 	440000 	5207 	1938 	4/5 	on 	tyyd. 	oma 	E2007
Maunula 	3h,k,kph,wc,las... 	kt 	76,70 	219000 	2855 	1971 	1/4 	on 	hyvä 	vuokra 	
Pukinmäki 	3H+K+S 	kt 	77,00 	207000 	2688 	1981 	3/3 	ei 	tyyd. 	oma 	F2013
Pohjois-haaga 	3 h+k+kph+vh+la... 	kt 	74,30 	224000 	3015 	1973 	3/3 	ei 	tyyd. 	vuokra 	E2013
Kamppi 	3h, k, kph, s, ... 	kt 	72,00 	597000 	8292 	1989 	4/9 	on 	hyvä 	oma 	E2007
Lassila 	3h, k, s, erill... 	kt 	80,00 	290000 	3625 	1982 	1/3 	ei 	hyvä 	oma 	G2013
Lauttasaari 	3h, k, s, p, 2-... 	kt 	90,50 	625000 	6906 	2012 	-1/8 	on 	hyvä 	  	D2013
Tali 	3h, avokeitti&#... 	kt 	95,50 	510000 	5340 	2009 	2/3 	on 	hyvä 	oma 	F2013
Sörnäinen 	3 h+k 	kt 	68,50 	300000 	4380 	1965 	7/7 	on 	tyyd. 	oma 	D2007
Kontula 	3h, k, kph, p 	kt 	73,00 	185000 	2534 	1966 	5/8 	on 	hyvä 	oma 	G
Myllypuro 	3h, k, s 	rt 	81,00 	312000 	3852 	2016 	1/2 	ei 	hyvä 	vuokra 	C
Herttoniemi 	3 h, avokeitti&... 	kt 	62,50 	272500 	4360 	1956 	2/4 	ei 	hyvä 	vuokra 	G2013
Lauttasaari 	3 h, k, vh, las... 	kt 	63,00 	350000 	5556 	1964 	1/4 	on 	hyvä 	oma 	
Katajanokka 	3h+k 	kt 	73,00 	436000 	5973 	1982 	5/5 	on 	hyvä 	vuokra 	E2018
Kontula 	3h,k 	kt 	77,00 	135000 	1753 	1966 	6/9 	on 	  	oma 	E2013
Jätkäsaari 	3h, kt 	kt 	69,50 	357925 	5150 	2021 	3/5 	on 	hyvä 	vuokra 	B2018
Punavuori 	3h+avok+kph 	kt 	60,00 	485000 	8083 	1927 	4/6 	on 	hyvä 	oma 	E2018
Tapulikaupunki 	3h,k,kph,lasit.... 	kt 	65,00 	164500 	2531 	1981 	1/6 	on 	hyvä 	oma 	
Vuosaari 	3 h, avok, kph/... 	kt 	65,50 	291000 	4443 	2012 	2/6 	on 	hyvä 	vuokra 	B
Vuosaari 	3h+k+kph+s+slas... 	kt 	69,50 	223000 	3209 	1999 	2/5 	on 	hyvä 	vuokra 	
Tapulikaupunki 	3 h, avok, kph,... 	kt 	75,00 	156000 	2080 	1977 	2/6 	on 	hyvä 	oma 	G2013
Vesala 	3h+K+Kph-S, Eri... 	rt 	80,00 	220000 	2750 	1989 	-1/2 	ei 	hyvä 	oma 	
Tapaninvainio 	3 h, k, kh/s, w... 	rt 	80,00 	278000 	3475 	1989 	1/2 	ei 	hyvä 	vuokra 	E2007
Siltamäki 	3h, k 	kt 	80,50 	130000 	1615 	1974 	2/2 	ei 	huono 	vuokra 	G2013
Etu-töölö 	3h+k 	kt 	122,00 	840000 	6885 	1924 	4/6 	on 	hyvä 	oma 	D2007
Lauttasaari 	3h + k + kph + ... 	kt 	62,50 	428000 	6848 	1966 	3/4 	on 	hyvä 	oma 	G2007
Oulunkylä 	3h+k+kph+vh+parv. 	kt 	64,00 	251000 	3922 	1956 	1/4 	ei 	hyvä 	vuokra 	F2013
Kumpula 	3h+kt+s 	kt 	67,50 	415000 	6148 	2012 	4/4 	on 	tyyd. 	oma 	C2013
Viikki 	3h+k+s+lasit.p 	kt 	75,00 	320000 	4267 	2015 	1/4 	on 	hyvä 	vuokra 	C2018
Meilahti 	3h, avokeitti&#... 	kt 	52,00 	345000 	6635 	1946 	2/3 	ei 	hyvä 	oma 	G2013
Etelä-haaga 	3 h, k, lasitet... 	kt 	62,00 	356000 	5742 	1961 	1/4 	on 	tyyd. 	oma 	D2007
Merihaka 	3h, k, kph, vh,... 	kt 	71,50 	330000 	4615 	1979 	3/9 	on 	tyyd. 	oma 	D2007
Puotinharju 	3h, k 	kt 	74,50 	219000 	2940 	1964 	5/5 	on 	tyyd. 	vuokra 	F2007
Heikinlaakso 	3h+k+kph+s 	rt 	80,00 	235000 	2938 	1979 	1/1 	ei 	hyvä 	oma 	F
Oulunkylä 	3h, k, kph, eri... 	kt 	80,50 	235000 	2919 	1976 	2/3 	ei 	tyyd. 	vuokra 	F2018
Tapaninvainio 	3h, k, th, wc, ... 	rt 	130,00 	338000 	2600 	1991 	-1/2 	ei 	hyvä 	oma 	B2018
Munkkiniemi 	3h, avok, kph, ... 	kt 	61,10 	412000 	6743 	1956 	3/4 	on 	hyvä 	oma 	D2013
Vuosaari 	3h+k+s 	rt 	81,00 	269000 	3321 	2003 	  	ei 	hyvä 	vuokra 	
Hakaniemi 	3h+k+kph+vh 	kt 	94,50 	510000 	5397 	1942 	2/7 	on 	hyvä 	oma 	E2007
Punavuori 	3h+k+s 	kt 	107,00 	880000 	8224 	2012 	5/6 	on 	hyvä 	oma 	D2018
Pajamäki 	2-3, avok, kph,... 	kt 	57,00 	257000 	4509 	1958 	3/4 	ei 	hyvä 	oma 	E2007
Katajanokka 	3h, kt, vh, kph... 	kt 	65,00 	579180 	8910 	1940 	3/8 	on 	hyvä 	oma 	C2018
Vallila 	3h, k, kph, par... 	kt 	66,00 	360000 	5455 	1950 	3/4 	ei 	tyyd. 	oma 	D2013
Etelä-haaga 	3h, k, s, kph, ... 	kt 	69,50 	320000 	4604 	2001 	3/5 	on 	tyyd. 	vuokra 	G2013
Kontula 	3h+k 	kt 	73,00 	120000 	1644 	1967 	1/3 	ei 	tyyd. 	vuokra 	G2013
Kontula 	3h, k, kph, eri... 	kt 	73,50 	118085 	1607 	1967 	5/7 	on 	tyyd. 	vuokra 	E2007
Puistola 	3h+k, piha 	kt 	74,00 	224000 	3027 	1980 	1/2 	ei 	tyyd. 	vuokra 	D2007
Aurinkolahti 	3h+k+s 	kt 	77,00 	392000 	5091 	2006 	5/6 	on 	hyvä 	oma 	D2007
Pikku-huopalahti 	3h, k, s, erill... 	kt 	99,00 	435000 	4394 	1999 	4/5 	on 	tyyd. 	vuokra 	F2013
Myllypuro 	3h + k + kph + ... 	kt 	69,00 	196000 	2841 	1965 	3/7 	on 	tyyd. 	vuokra 	
Ullanlinna 	3h+k 	kt 	70,00 	668000 	9543 	1927 	5/6 	on 	hyvä 	oma 	
Pukinmäki 	2-3h, k, vh, kp... 	kt 	70,50 	170000 	2411 	1971 	3/3 	ei 	hyvä 	oma 	G2013
Oulunkylä 	3h+k+kph+wc+2xv... 	kt 	70,50 	286000 	4057 	1967 	3/3 	ei 	hyvä 	vuokra 	E2007
Katajanokka 	2-3h, avok, kph 	kt 	77,00 	620000 	8052 	1907 	4/6 	on 	hyvä 	oma 	D2013
Katajanokka 	3h+k+kph+wc+kak... 	kt 	77,00 	745000 	9675 	1897 	3/5 	on 	hyvä 	oma 	F2013
